L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,368.0,0.0,140.0,0.0,0.3,0.62,-0.73,-1.15,-0.06,-1.15,9.0,0.0,0.0,0.0,0.0,1.14,-1.23,-7.99,126.58,-4.21,-17.76
0.0,369.0,0.0,139.0,0.0,0.35,0.62,-0.72,-5.12,5.67,2.99,3.0,0.0,0.0,0.0,0.0,1.45,-1.35,-8.15,21.11,81.11,-26.0
0.0,370.0,0.0,135.0,0.0,0.32,0.58,-0.69,0.73,4.51,-4.02,2.0,3.0,0.0,0.0,0.0,1.44,-1.89,-8.09,61.76,139.77,-47.36
0.0,370.0,0.0,135.0,0.0,0.25,0.58,-0.7,6.4,2.86,-7.26,0.0,5.0,0.0,0.0,0.0,1.38,-1.87,-8.39,147.94,159.97,-82.27
0.0,369.0,0.0,136.0,0.0,0.22,0.63,-0.71,6.59,-5.43,-8.54,0.0,8.0,0.0,0.0,0.0,1.41,-1.7,-8.77,166.32,223.81,-127.62
0.0,369.0,0.0,140.0,0.0,0.26,0.69,-0.76,2.8,-10.68,-3.54,0.0,8.0,0.0,0.0,0.0,1.35,-1.61,-9.41,232.05,257.5,-132.87
0.0,369.0,0.0,151.0,0.0,0.31,0.71,-0.77,-4.27,-2.07,4.08,0.0,13.0,0.0,0.0,0.0,1.57,-1.27,-10.09,302.73,-281.16,-96.98
0.0,370.0,0.0,154.0,0.0,0.33,0.69,-0.73,-10.55,3.05,5.18,0.0,14.0,0.0,0.0,0.0,1.56,-1.09,-10.88,327.14,-101.1,-88.25
0.0,370.0,0.0,135.0,0.0,0.35,0.56,-0.67,-5.18,-0.06,-3.11,0.0,10.0,0.0,0.0,0.0,1.54,-0.29,-11.53,-276.28,78.7,-73.42
0.0,369.0,0.0,132.0,0.0,0.3,0.55,-0.7,6.04,-1.03,-7.38,0.0,13.0,0.0,0.0,0.0,1.29,0.44,-11.72,-270.6,264.19,-43.7
0.0,360.0,0.0,131.0,0.0,0.26,0.61,-0.75,8.97,-7.32,-8.72,0.0,10.0,0.0,0.0,0.0,1.13,1.11,-11.58,-204.5,-255.55,73.3
0.0,358.0,0.0,134.0,0.0,0.27,0.66,-0.8,1.95,-7.62,-6.34,0.0,15.0,0.0,0.0,0.0,1.14,1.65,-11.35,-251.5,-77.63,208.92
0.0,360.0,0.0,150.0,0.0,0.29,0.69,-0.8,-1.64,-1.89,-3.47,0.0,18.0,0.0,0.0,0.0,0.51,2.03,-10.48,304.8,36.63,264.83
0.0,361.0,0.0,155.0,0.0,0.31,0.7,-0.77,-6.28,4.02,0.97,0.0,15.0,0.0,0.0,0.0,-0.59,1.98,-10.69,270.81,117.31,-319.92
0.0,359.0,0.0,156.0,0.0,0.35,0.67,-0.69,-11.41,11.77,3.96,0.0,15.0,0.0,0.0,1.0,-0.19,1.47,-9.76,315.49,155.64,-260.71
0.0,369.0,0.0,140.0,0.0,0.33,0.6,-0.63,-3.96,4.39,0.42,0.0,14.0,0.0,0.0,0.0,-1.53,1.82,-9.3,-305.76,82.22,-249.42
0.0,369.0,0.0,132.0,0.0,0.29,0.56,-0.66,3.17,-3.6,-5.18,0.0,15.0,0.0,0.0,0.0,-1.74,1.44,-8.82,26.09,51.27,-182.65
0.0,367.0,0.0,132.0,0.0,0.25,0.59,-0.74,9.7,-13.48,-6.59,0.0,14.0,0.0,0.0,0.0,-0.74,2.17,-7.2,131.01,181.65,94.7
0.0,368.0,0.0,137.0,0.0,0.31,0.68,-0.83,-1.46,-8.6,-2.13,0.0,14.0,0.0,0.0,0.0,-1.9,2.03,-8.61,-101.35,312.02,156.46
0.0,370.0,0.0,152.0,0.0,0.33,0.68,-0.81,-7.01,0.06,0.79,0.0,14.0,0.0,0.0,0.0,-1.3,1.44,-7.59,-301.06,-280.11,251.56
0.0,368.0,0.0,152.0,0.0,0.35,0.67,-0.77,-10.49,6.59,2.25,0.0,13.0,0.0,0.0,0.0,-0.65,1.48,-5.64,52.85,-265.52,181.92
0.0,368.0,0.0,156.0,0.0,0.37,0.66,-0.72,-11.9,11.84,2.86,0.0,14.0,0.0,0.0,0.0,-2.77,0.4,-5.4,-75.07,-281.58,100.31
0.0,368.0,0.0,142.0,0.0,0.35,0.61,-0.63,-2.68,10.74,1.34,0.0,14.0,0.0,0.0,0.0,-2.61,-1.06,-4.68,176.57,-278.28,152.98
