L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
442.0,0.0,0.0,78.0,0.0,-0.72,0.68,-0.25,-10.19,3.35,-1.15,14.0,5.0,0.0,0.0,0.0,-6.83,-5.55,-3.82,-52.89,-283.29,-266.57
440.0,0.0,0.0,0.0,0.0,-0.72,0.66,-0.22,-8.72,1.7,4.15,27.0,0.0,0.0,0.0,0.0,-6.3,-6.19,-2.7,-197.72,-150.67,248.1
440.0,0.0,0.0,0.0,0.0,-0.69,0.61,-0.24,-6.89,3.96,-2.13,38.0,0.0,0.0,0.0,0.0,-7.01,-5.79,-2.75,-258.39,-77.06,156.49
431.0,7.0,0.0,0.0,0.0,-0.77,0.62,-0.21,-4.21,3.41,-8.05,44.0,0.0,0.0,0.0,0.0,-7.34,-4.62,-1.33,307.18,-186.43,120.48
440.0,0.0,0.0,0.0,0.0,-0.81,0.68,-0.19,2.19,2.92,0.61,49.0,0.0,0.0,0.0,0.0,-6.83,-4.24,-0.43,157.89,-222.02,70.12
439.0,0.0,0.0,0.0,0.0,-0.75,0.66,-0.2,-6.77,-1.7,6.89,50.0,0.0,0.0,0.0,0.0,-6.52,-4.38,-1.16,2.74,263.12,104.55
432.0,0.0,0.0,66.0,0.0,-0.72,0.66,-0.21,-5.85,8.23,6.4,51.0,0.0,0.0,0.0,0.0,-7.17,-4.36,-0.63,-50.66,175.29,95.45
432.0,0.0,0.0,65.0,0.0,-0.71,0.56,-0.21,-2.44,6.65,-0.73,50.0,0.0,0.0,0.0,13.0,-6.44,-3.92,-0.48,79.04,79.46,101.01
443.0,0.0,0.0,66.0,0.0,-0.74,0.6,-0.2,5.43,0.85,-6.59,49.0,0.0,0.0,0.0,21.0,-6.1,-3.55,-0.86,240.84,-71.65,156.43
442.0,0.0,0.0,80.0,0.0,-0.77,0.64,-0.19,-1.7,-10.62,-7.08,44.0,0.0,0.0,0.0,14.0,-5.67,-2.74,-1.1,-246.98,-183.47,177.24
439.0,0.0,0.0,81.0,0.0,-0.79,0.63,-0.22,12.45,-2.5,-1.77,34.0,0.0,0.0,0.0,16.0,-5.32,-1.82,-1.3,-157.75,-195.25,244.07
432.0,0.0,0.0,82.0,0.0,-0.77,0.64,-0.23,3.84,-5.67,3.72,33.0,0.0,0.0,7.0,0.0,-5.23,-1.23,-1.28,-71.38,-197.2,-274.93
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,32.0,0.0,0.0,6.0,0.0,-5.13,-1.1,-1.37,-37.87,-213.43,-140.41
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,31.0,0.0,0.0,3.0,0.0,-5.45,-1.22,-1.52,-14.07,-167.11,-61.98
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,31.0,0.0,0.0,8.0,0.0,-6.22,-1.04,-1.98,130.46,-153.68,17.36
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,31.0,0.0,0.0,12.0,0.0,-7.12,1.23,-2.51,160.31,-231.56,107.76
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,32.0,0.0,0.0,0.0,1.0,-5.43,1.89,-4.35,-104.55,-96.86,-158.56
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,33.0,0.0,0.0,8.0,0.0,-6.9,1.74,-4.92,23.13,-22.03,-54.44
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,32.0,0.0,0.0,17.0,0.0,-7.69,0.66,-4.39,-5.31,69.15,-160.27
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,31.0,0.0,0.0,21.0,0.0,-8.85,-0.16,-3.58,190.67,81.11,-106.26
431.0,0.0,0.0,99.0,0.0,-0.71,0.63,-0.19,-1.7,-3.84,-1.83,31.0,0.0,0.0,20.0,0.0,-10.07,0.09,-3.9,-247.53,164.85,-45.04
