L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
259.0,0.0,0.0,116.0,0.0,-0.74,0.65,-0.2,-0.97,1.09,0.0,0.0,0.0,0.0,0.0,0.0,-6.31,-7.75,-3.02,-213.56,110.35,236.3
248.0,0.0,0.0,115.0,0.0,-0.71,0.66,-0.25,-7.2,2.86,-5.18,14.0,0.0,0.0,0.0,1.0,-7.31,-8.39,-2.08,-196.04,31.86,148.04
247.0,0.0,0.0,104.0,0.0,-0.79,0.66,-0.14,-3.47,3.54,0.3,21.0,0.0,0.0,0.0,0.0,-6.51,-7.61,-2.5,-93.93,39.36,52.28
247.0,0.0,0.0,116.0,0.0,-0.72,0.65,-0.2,-0.73,1.4,7.75,39.0,0.0,0.0,0.0,0.0,-6.48,-7.56,-2.57,-125.06,-7.93,-56.37
255.0,0.0,0.0,114.0,0.0,-0.69,0.6,-0.21,-7.87,5.85,1.89,44.0,0.0,0.0,0.0,0.0,-6.71,-7.59,-2.33,-168.57,62.25,-211.82
257.0,0.0,0.0,114.0,0.0,-0.69,0.59,-0.22,-0.06,17.7,4.82,44.0,0.0,0.0,0.0,0.0,-6.52,-6.79,-2.24,-310.05,55.78,291.62
256.0,0.0,0.0,114.0,0.0,-0.74,0.67,-0.17,-9.52,6.95,0.24,46.0,0.0,0.0,3.0,0.0,-6.68,-5.84,-2.42,308.01,37.17,228.82
256.0,0.0,0.0,104.0,0.0,-0.73,0.68,-0.19,-0.91,16.72,2.5,49.0,0.0,0.0,12.0,0.0,-6.73,-4.7,-1.74,247.96,-17.51,199.82
258.0,0.0,0.0,104.0,0.0,-0.73,0.51,-0.13,16.96,16.05,1.64,50.0,0.0,0.0,17.0,1.0,-6.58,-4.29,-1.54,291.9,-31.12,153.07
256.0,0.0,0.0,102.0,0.0,-0.74,0.55,-0.14,17.88,11.59,-9.88,52.0,0.0,0.0,17.0,0.0,-6.2,-3.33,-2.18,225.86,-92.34,137.39
247.0,0.0,0.0,103.0,0.0,-0.72,0.57,-0.12,12.69,4.21,-16.35,55.0,0.0,0.0,30.0,1.0,-6.1,-2.15,-2.04,90.73,-54.5,154.72
245.0,0.0,0.0,98.0,0.0,-0.81,0.71,-0.16,6.4,2.8,-9.58,52.0,0.0,0.0,34.0,0.0,-5.94,-1.78,-2.36,-213.1,57.43,186.21
246.0,0.0,0.0,98.0,0.0,-0.82,0.72,-0.14,-4.33,-7.26,-9.58,51.0,0.0,0.0,35.0,0.0,-6.27,-2.15,-2.42,-256.01,24.84,270.01
246.0,0.0,0.0,99.0,0.0,-0.8,0.69,-0.12,0.85,-6.89,-3.6,52.0,0.0,0.0,40.0,0.0,-6.22,-1.94,-2.38,-145.54,-86.42,310.11
248.0,0.0,0.0,87.0,0.0,-0.76,0.58,-0.08,8.48,-13.79,-12.08,51.0,6.0,0.0,40.0,0.0,-6.0,-1.66,-2.61,83.16,-170.77,-270.84
242.0,0.0,0.0,97.0,0.0,-0.77,0.68,-0.09,12.75,-9.76,-5.37,52.0,12.0,0.0,40.0,0.0,-5.98,-1.18,-2.62,-326.66,-255.61,-187.65
242.0,0.0,0.0,99.0,0.0,-0.77,0.7,-0.11,10.62,-9.09,2.19,51.0,14.0,0.0,41.0,0.0,-5.65,-0.77,-2.52,-309.93,-273.74,-71.44
256.0,0.0,0.0,101.0,0.0,-0.72,0.71,-0.14,4.39,2.8,7.93,50.0,14.0,0.0,40.0,0.0,-5.83,-0.77,-2.58,237.52,-199.89,13.82
269.0,0.0,0.0,102.0,0.0,-0.68,0.64,-0.18,-3.35,-0.85,1.22,50.0,14.0,0.0,35.0,0.0,-5.83,-0.55,-2.57,76.26,-119.5,118.87
270.0,0.0,0.0,101.0,0.0,-0.65,0.64,-0.17,-5.12,-3.29,-4.08,50.0,1.0,0.0,36.0,0.0,-6.04,-0.44,-2.57,-60.52,-42.96,183.62
