L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,146.0,0.0,0.0,0.0,0.0,0.65,-0.77,-1.52,1.03,-0.79,155.0,0.0,0.0,0.0,0.0,0.83,-1.65,-7.13,169.25,-190.36,49.07
0.0,145.0,0.0,0.0,0.0,0.01,0.8,-0.8,-8.05,9.39,9.03,66.0,0.0,0.0,0.0,0.0,1.02,-1.19,-7.42,175.35,-210.87,72.38
0.0,144.0,0.0,0.0,0.0,0.02,0.86,-0.82,-11.41,15.5,19.4,61.0,0.0,0.0,0.0,0.0,1.34,-0.79,-7.78,-21.85,-81.72,-30.15
0.0,146.0,0.0,0.0,0.0,0.01,0.93,-0.88,-13.67,28.62,33.26,30.0,0.0,0.0,0.0,0.0,1.22,-1.3,-7.96,-182.86,-15.62,-32.65
0.0,146.0,0.0,0.0,0.0,-0.03,0.96,-0.92,-9.09,44.86,49.25,5.0,0.0,0.0,0.0,0.0,1.13,-1.59,-8.07,-79.77,-56.21,-22.09
0.0,145.0,0.0,0.0,0.0,-0.06,1.0,-0.91,-13.36,54.44,63.9,0.0,0.0,0.0,0.0,1.0,1.35,-1.64,-8.11,31.79,-42.48,-15.01
0.0,144.0,0.0,0.0,0.0,-0.09,1.04,-0.92,-15.68,61.34,77.51,0.0,0.0,0.0,0.0,0.0,1.4,-1.52,-8.04,83.98,-10.0,-19.53
0.0,144.0,0.0,0.0,0.0,-0.11,1.08,-0.94,-10.68,74.46,93.56,0.0,0.0,0.0,0.0,0.0,1.36,-1.21,-8.06,27.58,60.48,-53.89
0.0,143.0,0.0,0.0,0.0,-0.15,1.09,-0.9,11.9,98.26,113.58,0.0,0.0,0.0,0.0,0.0,1.38,-1.47,-7.99,-80.01,105.28,-91.06
0.0,143.0,0.0,0.0,0.0,-0.33,0.98,-0.85,25.87,105.71,136.77,0.0,0.0,0.0,0.0,0.0,1.5,-1.91,-8.39,-130.18,139.22,-115.72
0.0,143.0,0.0,0.0,0.0,-0.47,0.96,-0.75,24.9,91.55,160.7,0.0,0.0,0.0,0.0,0.0,1.51,-2.36,-8.31,-154.78,182.18,-141.05
0.0,143.0,0.0,0.0,0.0,-0.53,0.9,-0.65,9.15,55.78,166.74,0.0,0.0,0.0,0.0,0.0,1.47,-2.73,-8.85,-112.3,259.52,-180.41
0.0,143.0,0.0,0.0,0.0,-0.51,0.83,-0.6,-5.61,9.39,162.53,0.0,0.0,0.0,0.0,0.0,1.41,-2.96,-9.45,-41.32,324.64,-245.17
0.0,143.0,0.0,0.0,0.0,-0.12,0.93,-0.3,-9.64,-32.77,176.81,0.0,2.0,0.0,0.0,0.0,1.37,-3.05,-9.8,16.29,-250.88,-289.12
0.0,132.0,0.0,0.0,0.0,-0.59,0.7,-0.66,25.45,-27.52,167.11,0.0,2.0,0.0,0.0,0.0,1.46,-3.22,-10.14,-49.25,-152.5,-321.28
0.0,131.0,0.0,0.0,0.0,-0.49,0.77,-0.63,26.73,-29.84,177.79,0.0,7.0,0.0,0.0,0.0,1.0,-3.09,-10.11,-174.37,-18.16,307.53
0.0,127.0,0.0,0.0,0.0,-0.38,0.65,-0.63,8.3,-22.7,175.78,0.0,8.0,0.0,0.0,0.0,0.52,-3.53,-10.37,260.53,134.74,237.52
0.0,119.0,0.0,0.0,0.0,-0.32,0.68,-0.56,-15.31,-19.89,172.48,0.0,4.0,0.0,0.0,0.0,0.11,-4.07,-10.15,219.09,208.95,153.29
0.0,120.0,0.0,0.0,0.0,-0.39,0.49,-0.68,-33.26,-7.32,178.1,0.0,8.0,0.0,0.0,0.0,-0.33,-4.46,-9.86,-288.69,287.87,77.0
0.0,120.0,0.0,0.0,0.0,-0.35,0.33,-0.61,-41.68,-0.3,187.13,0.0,8.0,0.0,0.0,0.0,-0.94,-4.4,-9.14,-124.45,308.14,4.73
0.0,118.0,0.0,0.0,0.0,-0.25,0.29,-0.65,-29.78,9.39,195.06,0.0,19.0,0.0,0.0,0.0,-2.55,-5.01,-9.0,28.13,318.76,-108.49
0.0,119.0,52.0,0.0,0.0,-0.14,0.13,-0.64,-5.49,28.01,190.67,0.0,35.0,0.0,0.0,0.0,-1.74,-3.24,-6.43,60.11,222.38,-162.57
0.0,119.0,66.0,1.0,0.0,-0.33,0.12,-0.64,-16.78,31.18,179.68,0.0,47.0,0.0,0.0,0.0,-2.12,-3.5,-7.8,195.98,279.63,-288.06
0.0,119.0,70.0,15.0,0.0,-0.36,0.04,-0.52,-51.51,7.93,146.66,0.0,50.0,0.0,0.0,0.0,-1.5,-3.26,-6.82,96.31,-323.85,-277.01
0.0,120.0,77.0,13.0,0.0,-0.33,-0.05,-0.52,-50.96,16.11,119.99,0.0,42.0,0.0,0.0,0.0,-3.93,-2.12,-6.98,-113.15,277.01,297.91
0.0,127.0,78.0,18.0,0.0,-0.26,-0.09,-0.6,-26.48,33.02,110.41,0.0,23.0,0.0,0.0,0.0,-7.22,-1.8,-5.94,-242.79,195.34,182.55
0.0,121.0,78.0,16.0,0.0,-0.37,-0.11,-0.55,5.92,47.72,110.59,0.0,51.0,13.0,0.0,0.0,-3.03,-0.82,-6.24,-145.08,112.88,116.76
0.0,121.0,83.0,17.0,0.0,-0.35,-0.15,-0.62,21.36,39.61,104.61,0.0,62.0,13.0,0.0,0.0,-3.5,-0.87,-6.66,86.97,200.41,9.88
