L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
218.0,0.0,0.0,0.0,0.0,-0.62,0.62,-0.51,1.52,-1.4,-0.85,0.0,53.0,0.0,6.0,0.0,-2.01,-3.64,-6.97,68.11,86.42,-46.14
253.0,8.0,0.0,0.0,0.0,-0.76,0.69,-0.43,3.54,9.58,9.82,0.0,53.0,0.0,6.0,0.0,-2.15,-3.82,-7.09,94.17,158.56,-104.37
258.0,10.0,0.0,0.0,0.0,-0.71,0.81,-0.43,8.85,16.9,16.96,0.0,58.0,0.0,3.0,0.0,-2.27,-4.03,-7.24,15.62,85.14,-70.31
285.0,8.0,0.0,0.0,0.0,-0.81,0.77,-0.47,14.95,18.61,23.01,0.0,58.0,0.0,2.0,0.0,-2.12,-3.68,-7.15,-79.34,49.68,0.48
290.0,0.0,0.0,0.0,0.0,-0.84,0.76,-0.42,23.07,19.95,34.05,0.0,58.0,0.0,2.0,0.0,-2.12,-3.53,-7.0,-52.42,113.76,-75.31
289.0,8.0,0.0,0.0,0.0,-0.92,0.85,-0.43,37.29,34.3,50.35,0.0,58.0,0.0,0.0,0.0,-2.16,-3.86,-6.86,-7.32,85.87,-70.12
243.0,0.0,0.0,0.0,0.0,-0.96,0.96,-0.37,33.44,33.32,71.41,0.0,47.0,0.0,0.0,0.0,-1.99,-3.75,-7.15,72.63,55.84,-21.05
199.0,0.0,1.0,0.0,0.0,-0.95,0.88,-0.4,-1.34,15.38,70.86,0.0,45.0,0.0,0.0,0.0,-2.2,-3.64,-7.06,37.84,34.05,1.52
187.0,0.0,0.0,0.0,0.0,-1.0,0.83,-0.48,-38.81,-8.85,70.19,0.0,51.0,0.0,0.0,0.0,-2.12,-3.71,-7.01,15.62,48.4,-36.92
188.0,13.0,3.0,0.0,0.0,-0.9,0.76,-0.41,-42.11,-3.11,56.76,0.0,36.0,0.0,0.0,0.0,-2.43,-3.68,-7.48,-42.41,161.86,-54.87
186.0,20.0,10.0,0.0,0.0,-0.88,0.66,-0.48,-31.0,5.43,64.08,0.0,16.0,0.0,0.0,0.0,-2.63,-3.71,-7.48,-193.48,248.16,-134.33
216.0,36.0,1.0,0.0,0.0,-1.0,0.45,-0.42,-5.0,10.13,101.8,0.0,0.0,0.0,0.0,0.0,-2.78,-4.28,-7.62,313.93,273.19,-179.19
249.0,67.0,0.0,0.0,0.0,-0.76,0.52,-0.5,2.62,-0.24,149.04,0.0,7.0,0.0,0.0,0.0,-2.77,-5.5,-6.94,239.04,306.21,-218.75
318.0,58.0,0.0,0.0,0.0,-0.81,0.45,-0.49,-28.68,3.11,133.54,0.0,45.0,0.0,0.0,0.0,-4.43,-6.77,-7.14,264.31,-296.23,-307.55
362.0,72.0,0.0,0.0,0.0,-0.63,0.38,-0.47,-75.19,-0.12,111.26,0.0,7.0,0.0,0.0,0.0,-3.85,-7.09,-7.85,-249.93,-170.75,276.15
371.0,72.0,0.0,9.0,0.0,-0.53,0.21,-0.47,-81.66,8.91,104.98,0.0,0.0,0.0,0.0,0.0,-5.37,-6.85,-8.11,-259.09,-256.44,25.12
440.0,55.0,0.0,7.0,0.0,-0.74,0.09,-0.55,-31.0,10.25,120.97,0.0,0.0,0.0,0.0,0.0,-5.42,-5.65,-6.86,-114.13,-306.92,68.02
403.0,50.0,39.0,0.0,0.0,-0.69,0.18,-0.51,-43.33,33.56,112.97,0.0,0.0,11.0,0.0,0.0,-4.67,-6.34,-6.73,-25.32,270.87,32.93
387.0,72.0,67.0,0.0,0.0,-0.7,0.1,-0.53,-39.24,41.93,94.48,31.0,36.0,13.0,0.0,0.0,-4.83,-5.8,-7.23,171.5,-204.68,66.13
410.0,71.0,65.0,0.0,0.0,-0.74,0.0,-0.46,-39.42,33.81,71.96,74.0,75.0,109.0,0.0,0.0,-5.13,-5.03,-7.57,243.4,-114.29,75.41
484.0,74.0,52.0,0.0,0.0,-0.73,-0.1,-0.56,-6.53,26.36,81.78,92.0,89.0,125.0,0.0,0.0,-4.25,-4.53,-6.48,72.44,-280.18,-15.11
456.0,72.0,3.0,0.0,0.0,-0.73,0.0,-0.51,-3.84,21.36,89.05,102.0,43.0,152.0,0.0,0.0,-4.55,-4.44,-6.93,51.2,-220.12,-246.67
501.0,92.0,0.0,0.0,0.0,-0.84,-0.02,-0.41,7.87,21.6,78.06,92.0,58.0,160.0,0.0,0.0,-4.77,-4.2,-7.28,177.79,22.31,-299.9
515.0,96.0,0.0,0.0,0.0,-0.67,0.03,-0.4,-10.8,8.85,69.27,98.0,76.0,230.0,31.0,0.0,-4.84,-3.96,-6.65,-324.19,66.8,-252.17
544.0,91.0,0.0,0.0,0.0,-0.66,0.09,-0.57,12.45,37.35,69.27,102.0,76.0,243.0,36.0,0.0,-3.87,-1.88,-6.07,-290.31,14.74,-178.44
556.0,94.0,0.0,0.0,0.0,-0.76,0.01,-0.37,15.13,49.13,63.72,104.0,67.0,242.0,39.0,0.0,-4.19,-2.38,-6.09,-255.28,31.71,-184.66
498.0,77.0,0.0,0.0,0.0,-0.83,-0.07,-0.4,9.09,24.04,58.83,111.0,31.0,244.0,60.0,0.0,-3.96,-1.68,-5.81,-276.76,131.99,-145.54
401.0,76.0,0.0,0.0,0.0,-0.83,0.04,-0.44,37.9,34.79,61.76,115.0,8.0,237.0,66.0,0.0,-4.83,-1.25,-5.38,-235.26,214.57,-194.92
358.0,57.0,0.0,0.0,0.0,-0.86,0.14,-0.43,7.38,19.95,50.53,99.0,21.0,214.0,71.0,0.0,-4.8,-0.4,-4.37,-243.68,184.54,-103.06
385.0,57.0,0.0,0.0,0.0,-0.86,0.12,-0.28,-32.83,9.09,43.09,85.0,20.0,195.0,95.0,0.0,-5.34,0.34,-4.23,-71.5,-14.56,-90.61
346.0,58.0,0.0,0.0,0.0,-0.88,0.0,-0.27,-40.03,-1.03,33.81,110.0,20.0,201.0,105.0,0.0,-4.8,0.6,-3.98,-191.01,-112.4,104.4
358.0,56.0,0.0,0.0,0.0,-0.87,-0.15,-0.35,-30.88,-4.45,17.21,92.0,22.0,207.0,103.0,0.0,-4.73,0.46,-3.97,-166.72,-159.03,172.45
313.0,72.0,0.0,0.0,0.0,-0.84,-0.21,-0.38,-3.78,4.69,33.38,104.0,22.0,200.0,103.0,0.0,-5.4,1.09,-3.69,244.87,-249.97,294.46
357.0,74.0,0.0,0.0,0.0,-0.63,-0.13,-0.33,7.62,2.74,50.35,70.0,23.0,185.0,102.0,0.0,-5.72,0.81,-3.88,95.09,-283.29,-325.25
0.0,74.0,0.0,0.0,0.0,-0.77,-0.13,-0.33,-2.62,-3.17,43.76,50.0,15.0,208.0,94.0,0.0,-5.31,1.0,-4.61,-192.93,-265.66,-230.59
0.0,70.0,0.0,0.0,0.0,-0.77,-0.16,-0.27,2.5,-3.41,36.86,51.0,15.0,178.0,84.0,0.0,-6.69,1.28,-5.32,-62.13,-236.6,-281.18
0.0,69.0,0.0,0.0,0.0,-0.8,-0.11,-0.31,11.65,-4.51,30.09,69.0,13.0,166.0,59.0,0.0,-6.73,-0.37,-5.43,128.54,289.48,-88.62
171.0,60.0,0.0,0.0,0.0,-0.88,-0.13,-0.45,3.23,-12.51,20.38,73.0,7.0,186.0,59.0,0.0,-5.94,0.28,-5.53,31.73,275.14,-49.25
217.0,55.0,0.0,0.0,0.0,-0.7,-0.24,-0.35,-7.69,-5.55,-2.86,91.0,0.0,157.0,64.0,0.0,-6.44,1.07,-4.98,-27.89,267.76,-267.63
243.0,55.0,0.0,0.0,0.0,-0.76,-0.3,-0.38,9.64,-3.72,-9.39,99.0,0.0,173.0,44.0,1.0,-6.15,0.48,-4.59,-27.64,229.49,-306.09
89.0,52.0,0.0,0.0,0.0,-0.82,-0.14,-0.41,9.39,-3.9,-15.25,115.0,0.0,143.0,39.0,0.0,-6.06,0.22,-4.1,13.12,225.46,306.37
37.0,52.0,0.0,0.0,0.0,-0.81,-0.16,-0.4,-1.28,-6.65,-22.39,97.0,0.0,110.0,35.0,0.0,-6.11,0.0,-3.72,30.02,232.78,246.0
0.0,57.0,0.0,0.0,0.0,-0.45,-0.03,-0.38,-28.07,-3.47,-15.68,63.0,0.0,110.0,26.0,0.0,-5.86,-0.21,-3.37,1.89,182.92,258.39
0.0,55.0,0.0,0.0,0.0,-0.6,-0.16,-0.44,-17.7,2.19,-36.62,68.0,0.0,110.0,41.0,0.0,-5.68,-0.58,-3.32,29.78,169.98,-310.42
