L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,54.0,0.0,0.0,0.0,-0.5,0.69,-0.51,1.34,2.8,0.3,0.0,0.0,0.0,0.0,0.0,-2.52,-3.44,-6.9,4.08,-35.7,35.7
0.0,63.0,0.0,0.0,0.0,-0.55,0.7,-0.49,3.84,9.64,5.31,0.0,5.0,0.0,0.0,0.0,-2.98,-3.74,-6.85,-7.93,82.27,-7.5
0.0,62.0,0.0,0.0,0.0,-0.62,0.61,-0.55,8.72,10.25,11.16,0.0,5.0,0.0,0.0,0.0,-5.85,-2.25,-4.67,-199.95,-91.12,-45.59
0.0,65.0,0.0,79.0,0.0,-0.79,0.61,-0.31,4.57,4.69,15.38,0.0,10.0,0.0,0.0,0.0,-3.96,-3.75,-5.82,-16.05,70.06,-33.87
0.0,65.0,0.0,78.0,0.0,-0.77,0.63,-0.32,25.26,-0.48,32.04,0.0,11.0,0.0,0.0,0.0,-4.25,-4.82,-6.92,30.94,182.37,-130.49
0.0,78.0,0.0,70.0,0.0,-0.81,0.7,-0.3,33.87,-12.2,41.99,0.0,15.0,0.0,0.0,0.0,-4.32,-4.36,-6.84,97.29,197.87,-186.52
0.0,86.0,0.0,81.0,0.0,-0.79,0.76,-0.35,22.09,-23.31,48.21,0.0,20.0,0.0,0.0,0.0,-4.54,-4.76,-6.35,72.44,195.19,-288.57
0.0,84.0,0.0,97.0,0.0,-0.77,0.77,-0.37,-5.31,-30.39,48.27,0.0,21.0,0.0,0.0,0.0,-4.65,-4.89,-6.57,102.78,234.74,266.51
0.0,78.0,19.0,82.0,0.0,-0.72,0.79,-0.47,-25.69,-27.58,54.26,0.0,23.0,0.0,0.0,0.0,-4.52,-4.72,-6.9,166.56,221.98,201.08
0.0,85.0,20.0,97.0,0.0,-0.77,0.72,-0.52,-39.42,-28.13,68.17,0.0,26.0,34.0,9.0,0.0,-4.25,-4.47,-6.92,221.74,236.02,139.31
0.0,84.0,17.0,82.0,0.0,-0.59,0.83,-0.22,-35.76,-15.38,95.33,0.0,48.0,187.0,34.0,0.0,-4.43,-3.93,-6.78,289.91,283.75,66.56
0.0,78.0,50.0,98.0,0.0,-0.8,0.67,-0.83,1.15,8.66,100.03,0.0,53.0,215.0,50.0,0.0,-7.08,-1.77,-5.67,197.69,216.73,85.78
0.0,76.0,86.0,103.0,0.0,-0.54,0.74,-0.6,-43.33,20.14,110.1,0.0,103.0,258.0,61.0,0.0,-1.73,0.01,-7.64,-301.18,-181.12,148.28
0.0,76.0,93.0,101.0,0.0,-0.75,0.56,-0.48,-50.59,24.16,90.02,0.0,98.0,288.0,72.0,0.0,-4.6,-3.43,-7.01,322.81,-301.24,-151.09
0.0,67.0,92.0,0.0,0.0,-0.83,0.49,-0.58,-40.34,18.0,83.55,0.0,88.0,303.0,77.0,0.0,-4.72,-2.33,-6.5,-199.92,327.02,-102.14
0.0,99.0,92.0,26.0,0.0,-0.84,0.55,-0.63,21.6,14.83,114.37,0.0,94.0,341.0,76.0,0.0,-4.54,-1.9,-6.57,-287.69,308.41,-25.73
