L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,75.0,0.0,0.0,0.0,-0.55,0.72,-0.41,-1.34,4.51,2.13,46.0,0.0,0.0,0.0,0.0,-2.31,-3.45,-7.35,-19.28,18.67,88.92
0.0,75.0,0.0,0.0,0.0,-0.58,0.68,-0.44,2.44,3.66,13.85,86.0,0.0,0.0,0.0,0.0,-2.25,-3.77,-7.34,-4.39,42.35,10.07
0.0,97.0,0.0,0.0,0.0,-0.61,0.72,-0.38,15.07,-4.15,27.16,96.0,0.0,0.0,0.0,0.0,-2.21,-3.47,-7.27,-28.19,76.84,-48.21
0.0,110.0,0.0,9.0,0.0,-0.65,0.73,-0.34,23.92,1.09,35.52,109.0,0.0,0.0,0.0,0.0,-2.91,-5.03,-7.64,117.98,212.4,-49.86
0.0,74.0,0.0,0.0,0.0,-0.64,0.69,-0.38,28.5,-12.02,31.0,108.0,0.0,0.0,0.0,0.0,-3.42,-5.78,-7.62,177.85,207.33,-131.59
0.0,74.0,0.0,70.0,0.0,-0.62,0.76,-0.39,26.67,-18.43,21.72,109.0,0.0,0.0,0.0,0.0,-5.77,-7.47,-4.58,-66.22,-4.27,274.26
0.0,76.0,0.0,75.0,0.0,-0.61,0.73,-0.46,29.35,-14.22,32.16,103.0,0.0,42.0,0.0,0.0,-4.07,-4.26,-6.03,67.62,200.74,-296.87
0.0,74.0,28.0,98.0,0.0,-0.77,0.74,-0.39,14.34,-17.33,33.81,96.0,5.0,72.0,0.0,0.0,-3.06,-3.64,-7.31,52.18,315.73,253.63
0.0,73.0,34.0,100.0,0.0,-0.57,1.0,0.12,-56.03,-19.4,43.88,91.0,1.0,80.0,0.0,0.0,-3.46,-3.54,-6.74,28.62,282.77,165.62
0.0,64.0,86.0,101.0,0.0,-0.8,0.72,-0.42,-2.68,1.89,54.74,78.0,9.0,157.0,0.0,0.0,-3.89,-2.88,-6.92,55.11,288.94,75.84
0.0,67.0,135.0,106.0,0.0,-0.73,0.71,-0.28,2.19,7.5,71.47,77.0,3.0,180.0,0.0,0.0,-3.82,-2.04,-7.25,87.09,-301.97,108.43
0.0,67.0,153.0,109.0,0.0,-0.87,0.69,-0.38,14.95,-10.62,82.88,71.0,27.0,195.0,0.0,0.0,-3.64,-2.05,-7.07,82.33,323.3,40.07
0.0,53.0,191.0,123.0,0.0,-0.78,0.6,-0.39,-11.1,-26.67,75.31,68.0,37.0,188.0,0.0,0.0,-3.77,-1.76,-6.49,57.86,-293.85,-23.35
0.0,111.0,216.0,109.0,0.0,-1.08,0.52,-0.52,-13.24,-42.05,36.86,53.0,81.0,231.0,0.0,0.0,-4.25,-1.75,-6.7,118.77,290.22,-56.73
0.0,118.0,249.0,123.0,0.0,-0.55,0.9,-0.39,-15.25,-17.21,83.74,44.0,92.0,233.0,0.0,0.0,-4.28,-2.04,-6.99,162.23,265.25,17.61
0.0,118.0,275.0,131.0,0.0,-0.77,0.5,-0.35,-13.3,-31.55,65.36,36.0,94.0,240.0,0.0,0.0,-4.16,-2.19,-6.81,80.93,194.88,150.85
0.0,100.0,294.0,153.0,0.0,-0.79,0.49,-0.45,-19.1,-32.83,57.0,28.0,105.0,253.0,0.0,0.0,-4.25,-2.37,-6.53,182.61,262.63,268.77
0.0,75.0,322.0,151.0,0.0,-0.77,0.52,-0.44,-7.69,-28.44,70.67,16.0,116.0,261.0,0.0,0.0,-3.56,-2.16,-6.0,296.81,-301.79,260.89
0.0,86.0,319.0,148.0,0.0,-0.73,0.55,-0.48,-22.46,-22.52,71.71,0.0,120.0,254.0,3.0,0.0,-3.91,-1.78,-6.27,300.41,-237.82,143.65
0.0,97.0,273.0,145.0,0.0,-0.57,0.4,-0.7,12.69,7.99,80.38,0.0,125.0,252.0,15.0,0.0,-4.24,-1.78,-6.97,300.29,-176.79,87.92
0.0,97.0,249.0,156.0,0.0,-0.82,0.42,-0.48,15.56,-7.56,72.99,0.0,122.0,266.0,15.0,0.0,-4.32,-1.61,-6.23,-318.27,-287.75,140.35
0.0,87.0,148.0,179.0,0.0,-0.68,0.45,-0.5,14.89,-3.35,82.15,0.0,126.0,266.0,21.0,0.0,-3.71,-1.12,-5.5,-285.19,312.86,193.82
0.0,87.0,140.0,179.0,0.0,-0.73,0.43,-0.5,12.14,-18.18,75.98,0.0,126.0,261.0,20.0,0.0,-3.56,-0.39,-5.2,284.42,301.63,247.96
0.0,84.0,137.0,176.0,0.0,-0.65,0.4,-0.48,5.43,-26.12,67.62,0.0,125.0,245.0,0.0,0.0,-3.76,-0.36,-5.22,241.02,291.38,320.77
0.0,79.0,125.0,181.0,0.0,-0.51,0.2,-0.55,18.37,-28.56,57.49,0.0,50.0,187.0,0.0,0.0,-0.95,-1.08,-5.25,-243.83,49.31,-52.24
0.0,73.0,92.0,153.0,0.0,-0.48,0.32,-0.35,6.4,-40.89,39.91,0.0,4.0,173.0,0.0,0.0,2.17,9.33,-15.99,168.3,183.56,-287.45
0.0,88.0,107.0,173.0,0.0,-0.08,0.18,-1.18,26.97,45.41,24.16,0.0,49.0,181.0,0.0,0.0,-7.2,2.89,-6.53,-153.78,-247.34,-9.82
0.0,95.0,100.0,159.0,0.0,-0.93,-0.14,-1.57,133.85,100.52,93.32,0.0,31.0,209.0,0.0,0.0,-4.21,-3.6,-11.68,-125.64,30.21,-6.28
0.0,43.0,126.0,173.0,0.0,-0.93,0.55,-0.22,48.15,1.09,74.95,0.0,44.0,211.0,0.0,0.0,-4.41,-1.28,-4.33,73.42,88.01,59.87
0.0,55.0,108.0,179.0,0.0,-0.62,0.49,-0.06,-97.96,-55.84,-63.96,0.0,53.0,224.0,0.0,0.0,-5.39,-0.27,-4.38,-267.88,137.51,-60.42
0.0,55.0,118.0,150.0,0.0,-0.57,0.24,-0.55,-1.58,2.19,10.86,0.0,64.0,232.0,0.0,0.0,-6.15,-0.88,-3.86,-95.64,-47.3,-6.22
0.0,62.0,108.0,175.0,0.0,-0.73,0.36,-0.47,-28.32,-7.56,-13.18,0.0,75.0,253.0,0.0,0.0,-5.12,-0.55,-5.96,-46.99,20.5,50.04
0.0,65.0,99.0,175.0,0.0,-0.74,0.23,-0.51,-2.92,1.83,-7.08,0.0,75.0,260.0,0.0,0.0,-5.74,-0.74,-5.51,-68.6,-4.33,-19.89
0.0,66.0,108.0,176.0,0.0,-0.78,0.31,-0.46,2.5,5.73,-1.15,0.0,72.0,259.0,0.0,0.0,-5.49,-0.19,-6.13,77.45,-8.48,-65.49
0.0,66.0,108.0,176.0,0.0,-0.8,0.37,-0.52,2.31,5.49,-6.53,0.0,65.0,262.0,0.0,0.0,-5.39,-0.05,-6.13,-48.52,17.76,-9.94
0.0,64.0,107.0,175.0,0.0,-0.78,0.34,-0.54,-9.27,1.09,-0.73,0.0,48.0,247.0,0.0,0.0,-5.25,-0.3,-5.93,-60.97,0.12,50.35
0.0,53.0,111.0,176.0,0.0,-0.79,0.32,-0.53,-7.26,2.19,4.33,0.0,11.0,241.0,0.0,0.0,-5.08,-0.61,-5.97,-97.1,-8.54,112.54
0.0,52.0,108.0,178.0,0.0,-0.82,0.27,-0.5,-7.38,1.89,-1.77,0.0,9.0,222.0,0.0,0.0,-5.33,-0.68,-6.12,-74.76,34.36,50.78
0.0,44.0,85.0,175.0,0.0,-0.8,0.3,-0.52,10.55,-1.52,-5.43,0.0,16.0,237.0,0.0,0.0,-4.96,0.41,-6.62,258.82,-44.37,107.91
0.0,51.0,90.0,176.0,0.0,-0.81,0.29,-0.47,4.45,-4.69,-11.65,0.0,5.0,201.0,0.0,0.0,-4.68,0.09,-7.84,274.38,1.34,131.22
0.0,53.0,86.0,176.0,0.0,-0.8,0.36,-0.51,15.01,-2.01,-6.4,0.0,31.0,80.0,0.0,0.0,-4.61,0.0,-6.89,-269.47,110.65,193.66
0.0,55.0,65.0,173.0,0.0,-0.76,0.4,-0.57,7.93,-8.42,-17.33,0.0,27.0,49.0,0.0,0.0,-4.12,-0.5,-6.09,280.43,137.93,103.27
0.0,54.0,75.0,173.0,0.0,-0.68,0.41,-0.62,-6.22,-6.28,-26.42,0.0,0.0,1.0,0.0,0.0,-4.61,-0.61,-6.01,186.0,152.16,20.87
0.0,53.0,75.0,173.0,0.0,0.0,0.69,-0.71,-15.74,-0.48,-4.82,0.0,1.0,0.0,0.0,0.0,-4.68,-1.82,-4.91,203.09,88.86,55.41
0.0,53.0,52.0,0.0,0.0,-0.16,0.84,-0.98,-87.21,-21.6,-47.05,0.0,0.0,0.0,0.0,0.0,-4.03,-2.64,-5.25,-297.97,54.74,88.43
0.0,55.0,49.0,51.0,0.0,-0.81,0.36,-0.73,7.87,8.36,-42.72,0.0,0.0,0.0,0.0,0.0,-4.77,-1.71,-4.62,-200.68,2.5,253.41
0.0,55.0,26.0,54.0,0.0,-0.56,0.18,-0.78,45.1,19.59,-37.35,0.0,0.0,0.0,0.0,0.0,-2.27,-2.95,-4.92,44.61,-31.31,-202.91
0.0,55.0,0.0,32.0,0.0,-0.44,0.3,-0.57,-36.49,-3.23,-54.13,0.0,0.0,0.0,0.0,0.0,-4.5,-3.14,-4.78,302.49,-147.94,-105.44
0.0,62.0,0.0,0.0,0.0,-0.51,0.19,-0.7,-33.38,9.94,-47.42,0.0,0.0,0.0,0.0,0.0,-4.67,-3.25,-4.83,-164.58,-268.79,-32.81
0.0,55.0,0.0,0.0,0.0,-0.51,0.29,-0.58,-22.82,19.77,-25.39,0.0,0.0,0.0,0.0,0.0,-4.66,-2.67,-4.83,-242.83,274.38,-51.06
0.0,65.0,0.0,0.0,0.0,-0.58,0.26,-0.61,34.91,49.37,-13.48,0.0,0.0,0.0,0.0,0.0,-4.73,-3.11,-5.0,-248.38,319.79,-118.01
0.0,65.0,0.0,0.0,0.0,-0.63,0.4,-0.49,48.52,48.27,-18.49,0.0,0.0,0.0,0.0,0.0,-4.43,-2.63,-4.51,258.6,272.13,-106.23
0.0,65.0,0.0,0.0,0.0,-0.74,0.44,-0.45,56.57,35.82,-25.45,0.0,0.0,0.0,0.0,0.0,-5.13,-2.53,-4.93,120.91,324.74,-46.84
0.0,64.0,0.0,0.0,0.0,-0.69,0.58,-0.35,33.69,17.21,-40.03,0.0,0.0,0.0,0.0,0.0,-4.58,-3.18,-4.68,-48.03,292.63,9.0
0.0,56.0,0.0,0.0,0.0,-0.69,0.56,-0.34,3.72,17.15,-54.87,0.0,0.0,0.0,0.0,0.0,-4.71,-3.73,-5.27,-126.22,160.25,-2.59
0.0,62.0,0.0,0.0,0.0,-0.79,0.63,-0.27,-41.44,-4.88,-92.65,0.0,0.0,0.0,0.0,0.0,-4.47,-4.0,-5.6,-50.53,-17.24,-72.54
