L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
0.0,0.0,0.0,0.0,0.0,-0.69,0.73,-0.21,-2.07,-1.7,1.64,0.0,0.0,0.0,0.0,0.0,-4.67,-6.14,-4.78,305.57,166.8,-107.78
0.0,0.0,0.0,66.0,0.0,-0.94,0.79,-0.02,-7.75,-7.56,-6.46,4.0,0.0,0.0,0.0,0.0,-5.16,-6.6,-5.03,229.28,299.07,-256.59
0.0,0.0,0.0,67.0,0.0,-0.89,0.89,-0.03,2.86,-8.91,2.07,15.0,0.0,0.0,0.0,0.0,-5.81,-8.52,-5.22,-185.11,227.78,285.61
0.0,0.0,0.0,66.0,0.0,-0.87,0.9,-0.08,16.54,-12.87,25.63,25.0,0.0,0.0,0.0,0.0,-6.59,-7.03,-4.54,55.29,56.57,160.49
0.0,0.0,0.0,66.0,0.0,-0.92,0.87,-0.16,25.39,-14.34,54.26,27.0,0.0,0.0,0.0,0.0,-7.2,-7.88,-4.24,84.89,-31.49,-8.15
0.0,0.0,0.0,68.0,0.0,-0.99,0.78,-0.23,11.84,-22.33,59.5,31.0,0.0,0.0,0.0,0.0,-6.96,-7.03,-3.92,-47.24,-26.06,-45.2
0.0,0.0,0.0,67.0,0.0,-0.97,0.82,-0.25,-15.99,-29.9,58.16,39.0,0.0,0.0,0.0,0.0,-6.68,-6.48,-4.06,-41.8,166.13,-113.92
0.0,0.0,0.0,66.0,0.0,-0.93,0.8,-0.31,-22.82,-29.54,68.78,32.0,0.0,0.0,0.0,0.0,-7.44,-6.78,-5.34,90.57,297.6,-96.04
0.0,0.0,0.0,60.0,0.0,-0.93,0.8,-0.36,-29.23,-31.73,80.56,33.0,0.0,0.0,0.0,0.0,-6.73,-6.29,-7.07,-195.4,184.87,-231.96
5.0,0.0,0.0,32.0,0.0,-0.93,0.78,-0.42,-42.72,-28.74,86.3,22.0,0.0,0.0,0.0,0.0,-6.02,-5.24,-6.12,49.47,87.28,-217.5
0.0,0.0,0.0,6.0,0.0,-0.85,0.69,-0.48,-32.34,-15.86,101.13,16.0,15.0,0.0,0.0,0.0,-5.97,-6.24,-5.26,-30.73,198.3,-185.09
0.0,0.0,0.0,23.0,0.0,-0.85,0.65,-0.41,-32.95,-5.0,114.31,14.0,36.0,19.0,0.0,0.0,-6.84,-4.32,-5.12,-202.06,270.69,-144.87
0.0,0.0,22.0,43.0,0.0,-0.83,0.58,-0.42,-55.29,6.65,111.57,10.0,47.0,139.0,0.0,0.0,-4.63,-2.91,-6.11,-118.38,-252.59,-184.48
0.0,0.0,79.0,32.0,0.0,-0.84,0.53,-0.48,-68.9,-9.52,120.72,10.0,82.0,137.0,0.0,0.0,-5.63,-3.17,-7.86,133.39,-90.67,-248.08
0.0,0.0,66.0,34.0,0.0,-0.74,0.52,-0.43,-83.25,-0.97,126.28,15.0,44.0,182.0,0.0,0.0,-6.37,-2.62,-4.27,182.1,-119.78,-195.59
0.0,8.0,0.0,41.0,0.0,-0.73,0.06,-0.71,-53.22,19.65,119.56,7.0,37.0,208.0,0.0,0.0,-5.33,-1.97,-6.54,319.49,-278.96,-168.55
0.0,0.0,0.0,45.0,0.0,-0.84,0.2,-0.55,8.23,34.85,135.13,25.0,24.0,193.0,0.0,0.0,-3.88,2.0,-6.87,318.39,-28.78,-64.54
0.0,11.0,0.0,45.0,0.0,-0.91,0.31,-0.38,-10.49,8.66,117.24,26.0,43.0,207.0,0.0,0.0,-6.53,0.18,-8.92,-24.53,-219.84,303.77
0.0,15.0,0.0,48.0,0.0,-0.89,0.26,-0.19,-72.44,-24.47,105.1,28.0,83.0,220.0,0.0,0.0,-7.68,0.87,-3.05,24.47,182.16,271.45
0.0,12.0,0.0,59.0,0.0,-1.09,-0.19,-0.22,-37.41,-26.79,92.22,20.0,128.0,151.0,0.0,0.0,-7.04,-2.08,-5.23,-249.85,-149.02,-13.76
