L_F1,L_F2,L_F3,L_F4,L_F5,L_Ax,L_Ay,L_Az,L_Gx,L_Gy,L_Gz,R_F1,R_F2,R_F3,R_F4,R_F5,R_Ax,R_Ay,R_Az,R_Gx,R_Gy,R_Gz
275.0,57.0,0.0,0.0,0.0,-0.63,0.75,-0.34,-1.09,-5.73,-0.61,0.0,29.0,0.0,0.0,0.0,-2.5,-4.96,-6.06,2.92,62.31,-42.54
256.0,55.0,0.0,0.0,0.0,-0.63,0.76,-0.33,4.33,-1.22,4.69,0.0,23.0,0.0,0.0,0.0,-2.94,-5.14,-5.8,-32.65,73.3,-71.77
256.0,52.0,0.0,0.0,0.0,-0.63,0.71,-0.3,-10.07,-6.34,-0.91,0.0,16.0,0.0,0.0,0.0,-2.89,-5.14,-5.85,-66.83,54.56,-91.18
0.0,55.0,0.0,0.0,0.0,-0.61,0.72,-0.3,-5.67,-1.83,0.91,0.0,14.0,0.0,0.0,0.0,-3.19,-5.38,-5.65,-19.1,8.85,-62.98
0.0,32.0,0.0,0.0,0.0,-0.64,0.75,-0.26,-29.6,-0.12,-9.82,0.0,0.0,0.0,0.0,0.0,-3.29,-5.75,-5.66,64.08,-33.75,-86.54
117.0,31.0,0.0,7.0,0.0,-0.63,0.71,-0.29,-27.34,-4.88,-16.29,0.0,0.0,0.0,0.0,0.0,-3.29,-6.05,-6.14,42.05,-0.91,-140.19
113.0,31.0,0.0,0.0,0.0,-0.65,0.71,-0.28,-18.61,-7.5,-8.48,0.0,0.0,0.0,0.0,0.0,-3.63,-5.81,-6.0,-120.6,85.38,-170.59
86.0,30.0,0.0,0.0,0.0,-0.7,0.74,-0.32,6.22,5.12,9.33,0.0,0.0,0.0,0.0,0.0,-4.07,-6.75,-6.39,-225.89,278.62,-254.94
0.0,28.0,0.0,0.0,0.0,-0.81,0.85,-0.24,22.64,18.43,17.02,0.0,0.0,0.0,0.0,0.0,-4.49,-7.81,-5.99,-194.03,312.92,-245.36
0.0,33.0,0.0,6.0,0.0,-0.83,0.89,-0.28,20.62,16.29,22.21,0.0,0.0,0.0,0.0,0.0,-5.9,-8.08,-5.65,-18.61,224.48,-326.04
0.0,32.0,0.0,0.0,0.0,-0.93,0.91,-0.36,-5.79,5.98,25.93,0.0,0.0,0.0,0.0,0.0,-5.4,-7.18,-6.49,279.29,123.71,222.44
0.0,16.0,0.0,9.0,0.0,-0.94,0.92,-0.27,-28.32,-5.49,32.95,15.0,14.0,17.0,0.0,0.0,-5.16,-6.83,-7.49,-293.49,89.53,151.82
78.0,16.0,0.0,9.0,0.0,-0.95,0.83,-0.31,-15.99,-8.36,45.83,14.0,29.0,10.0,0.0,0.0,-4.62,-6.26,-7.28,-221.1,151.85,10.1
104.0,30.0,0.0,12.0,0.0,-0.95,0.85,-0.36,11.16,7.5,68.66,0.0,43.0,10.0,27.0,0.0,-4.81,-5.33,-8.34,-283.6,-219.33,12.42
20.0,33.0,0.0,0.0,0.0,-0.99,0.93,-0.37,1.7,10.49,86.97,0.0,16.0,10.0,69.0,0.0,-5.65,-6.24,-6.6,-297.03,-163.18,-87.19
91.0,47.0,0.0,0.0,0.0,-0.99,0.96,-0.37,-63.47,-15.68,86.12,0.0,0.0,90.0,84.0,0.0,-5.19,-5.25,-6.13,-205.84,-264.13,-166.53
149.0,52.0,0.0,0.0,7.0,-1.0,0.92,-0.41,-130.79,-33.81,78.85,0.0,0.0,118.0,122.0,0.0,-5.55,-4.08,-6.1,-47.33,-98.91,-247.71
161.0,56.0,0.0,0.0,16.0,-0.86,0.73,-0.43,-151.36,-29.11,72.57,0.0,0.0,98.0,141.0,0.0,-4.1,-3.24,-6.05,-28.29,-6.38,225.46
185.0,96.0,0.0,0.0,18.0,-0.75,0.37,-0.52,-144.28,-7.62,76.47,0.0,0.0,96.0,151.0,0.0,-4.15,-3.12,-6.36,-51.36,-9.37,307.49
190.0,115.0,0.0,0.0,19.0,-0.75,0.43,-0.49,-90.39,28.13,123.53,0.0,0.0,96.0,164.0,0.0,-5.33,-3.14,-5.85,-51.42,74.31,-152.62
63.0,132.0,0.0,0.0,22.0,-0.76,0.4,-0.53,-33.69,50.84,151.0,0.0,0.0,100.0,165.0,0.0,-5.28,-1.46,-5.59,-95.25,-14.62,-99.4
72.0,138.0,0.0,0.0,23.0,-0.77,0.47,-0.43,-43.7,41.13,150.69,0.0,0.0,124.0,166.0,0.0,-4.39,-0.33,-5.54,-228.49,-34.33,-22.13
0.0,149.0,0.0,0.0,29.0,-0.8,0.38,-0.35,-53.64,28.68,134.82,0.0,0.0,139.0,151.0,1.0,-3.56,0.96,-4.96,210.99,13.28,68.51
0.0,151.0,0.0,0.0,31.0,-0.81,0.25,-0.35,-50.96,17.76,120.72,0.0,0.0,146.0,73.0,0.0,-5.1,-0.66,-5.08,130.06,56.67,18.95
